,visit_num,tract_id,filter,field_name,image_mjd,field,ra,dec
1430,419384,34,r,Blind15A_27,57089.2311013,27,09:58:48.000,+00:09:00.00
1431,419385,37,r,Blind15A_28,57089.2326772,28,10:00:20.760,-02:05:44.81
1432,419386,38,r,Blind15A_29,57089.2341886,29,09:55:43.560,-04:05:46.68
1433,419387,26,r,Blind15A_30,57089.2357025,30,10:00:20.760,-06:05:48.55
1434,419388,25,r,Blind15A_31,57089.2373086,31,10:09:35.160,-06:05:48.55
1435,419389,27,r,Blind15A_33,57089.2389317,33,10:08:46.394,-02:05:44.81
1436,419390,22,r,Blind15A_34,57089.2404554,34,10:12:28.800,+00:00:00.00
1437,419391,21,r,Blind15A_35,57089.2419726,35,10:09:32.887,+02:05:44.81
1438,419392,20,r,Blind15A_38,57089.24355,38,10:17:17.839,-02:05:44.81
1439,419393,19,r,Blind15A_39,57089.2450603,39,10:12:22.570,-04:11:29.62
1440,419394,50,r,Blind15A_40,57089.2466055,40,10:20:28.800,-06:31:12.00
1441,419395,51,r,Blind15A_41,57089.2481592,41,10:28:47.760,-06:31:12.00
1442,419396,52,r,Blind15A_42,57089.2496967,42,10:21:52.800,-04:57:00.00
1443,419397,53,r,Blind15A_43,57089.2512451,43,10:27:25.440,-02:08:27.52
1444,419398,47,r,Blind15A_45,57089.2528288,45,10:27:25.440,+01:51:36.22
1445,419399,49,r,Blind15A_46,57089.2543622,46,10:36:39.840,+01:51:36.22
1446,419400,49,r,Blind15A_47,57089.2559406,47,10:41:31.200,+00:00:00.00
1447,419401,55,r,Blind15A_49,57089.2575778,49,10:31:47.285,-04:11:29.62
1448,419402,45,r,Blind15A_50,57089.2590899,50,10:36:35.527,-06:17:14.42
1449,419776,13,g,Blind15A_02,57090.2061739,2,09:08:53.952,-04:18:02.81
1450,419777,14,g,Blind15A_03,57090.2077108,3,09:13:30.840,-02:17:49.30
1451,419778,16,g,Blind15A_05,57090.2092909,5,09:13:31.152,+01:42:02.81
1452,419779,17,g,Blind15A_06,57090.2108316,6,09:22:45.552,+01:42:02.81
1453,419780,18,g,Blind15A_07,57090.2123458,7,09:18:08.352,-00:17:59.06
1454,419781,10,g,Blind15A_08,57090.2138618,8,09:22:45.552,-02:18:00.94
1455,419782,3,g,Blind15A_12,57090.2154364,12,09:27:22.752,-04:18:02.81
1456,419783,2,g,Blind15A_13,57090.216975,13,09:31:59.952,-02:18:00.94
1457,419784,9,g,Blind15A_14,57090.2185025,14,09:27:22.752,-00:17:59.06
1458,419785,8,g,Blind15A_15,57090.2200634,15,09:31:59.952,+01:42:02.81
1459,419786,0,g,Blind15A_19,57090.2217978,19,09:36:37.152,-04:18:02.81
1460,419787,31,g,Blind15A_20,57090.223319,20,09:41:14.352,-06:18:04.68
1461,419788,32,g,Blind15A_21,57090.224921,21,09:50:28.752,-06:18:04.68
1462,419789,29,g,Blind15A_22,57090.2264287,22,09:45:51.552,-04:18:02.81
