# t0_x t0_y theta_par theta_perp v_x v_y likelihood est_flux
138 296 0.0 0.0 234.000 405.300 28.321 0.0
1213 1177 0.0 0.0 -210.107 -233.347 28.313 0.0
149 400 0.0 0.0 -254.270 282.395 28.301 0.0
156 396 0.0 0.0 -298.432 331.443 28.294 0.0
149 401 0.0 0.0 -224.828 249.697 28.294 0.0
1402 2687 0.0 0.0 -246.657 -109.819 28.281 0.0
161 389 0.0 0.0 -342.595 380.490 28.277 0.0
152 401 0.0 0.0 -224.828 249.697 28.272 0.0
1398 1341 0.0 0.0 -28.223 268.521 28.252 0.0
138 303 0.0 0.0 195.386 216.998 28.252 0.0
160 387 0.0 0.0 -372.037 413.189 28.237 0.0
1871 2084 0.0 0.0 83.435 -256.785 28.230 0.0
1463 2665 0.0 0.0 28.223 -268.521 28.198 0.0
1456 1264 0.0 0.0 -313.153 347.792 28.196 0.0
970 733 0.0 0.0 -135.000 233.827 28.173 0.0
159 391 0.0 0.0 -313.153 347.792 28.153 0.0
1871 2090 0.0 0.0 137.821 -424.171 28.145 0.0
155 397 0.0 0.0 -254.270 282.395 28.119 0.0
164 389 0.0 0.0 30.522 -290.400 28.113 0.0
1464 2669 0.0 0.0 30.522 -290.400 28.113 0.0
1572 597 0.0 0.0 367.245 163.508 28.107 0.0
1878 2075 0.0 0.0 -180.665 200.649 28.092 0.0
1466 1250 0.0 0.0 -28.223 -268.521 28.090 0.0
1873 2121 0.0 0.0 -97.031 -298.632 28.089 0.0
324 2905 0.0 0.0 30.522 -290.400 28.087 0.0
1463 2670 0.0 0.0 32.822 -312.280 28.060 0.0
139 298 0.0 0.0 223.000 386.247 28.059 0.0
143 306 0.0 0.0 190.000 329.090 28.045 0.0
138 298 0.0 0.0 234.000 405.300 28.042 0.0
683 1237 0.0 0.0 -30.522 -290.400 28.042 0.0
1391 2678 0.0 0.0 -254.031 -184.565 28.031 0.0
141 305 0.0 0.0 180.665 200.649 28.021 0.0
142 303 0.0 0.0 135.000 233.827 28.012 0.0
1457 1264 0.0 0.0 -313.153 347.792 28.008 0.0
141 300 0.0 0.0 146.000 252.879 27.998 0.0
1190 2880 0.0 0.0 264.100 -56.136 27.990 0.0
158 393 0.0 0.0 -313.153 347.792 27.987 0.0
140 298 0.0 0.0 157.000 271.932 27.986 0.0
153 398 0.0 0.0 -283.711 315.093 27.982 0.0
1434 1174 0.0 0.0 195.386 216.998 27.972 0.0
1463 2666 0.0 0.0 28.223 -268.521 27.970 0.0
1466 1239 0.0 0.0 -28.223 -268.521 27.927 0.0
1872 2088 0.0 0.0 124.225 -382.325 27.924 0.0
153 397 0.0 0.0 -254.270 282.395 27.913 0.0
