,t0_x,t0_y,theta_par,theta_perp,v_x,v_y,likelihood,est_flux,field_num,times
0,532.0,489.0,0.0,0.0,-103.431,486.732,18.358,11074.396,1.0,[ 0.         0.2217066]
1,1519.0,1078.0,0.0,0.0,90.703,338.457,10.955,6027.661,1.0,[ 0.         0.2217066]
2,528.0,3526.0,0.0,0.0,79.52,374.04,9.115,3163.862,1.0,[ 0.         0.2217066]
3,710.0,729.0,0.0,0.0,461.686,98.131,8.639,1431.839,1.0,[ 0.         0.2217066]
4,1704.0,541.0,0.0,0.0,153.657,573.368,8.011,2786.81,1.0,[ 0.         0.2217066]
5,1658.0,647.0,0.0,0.0,363.189,97.313,8.011,2786.81,1.0,[ 0.         0.2217066]
6,1763.0,706.0,0.0,0.0,-114.178,-175.771,8.011,2786.81,1.0,[ 0.         0.2217066]
7,1808.0,561.0,0.0,0.0,-316.295,487.12,8.01,2786.487,1.0,[ 0.         0.2217066]
8,1230.0,26.0,0.0,0.0,114.162,175.782,7.536,2466.037,1.0,[ 0.         0.2217066]
9,1141.0,70.0,0.0,0.0,516.087,-27.142,7.536,2466.037,1.0,[ 0.         0.2217066]
10,1361.0,141.0,0.0,0.0,-480.271,-348.856,7.535,2465.251,1.0,[ 0.         0.2217066]
11,572.0,1512.0,0.0,0.0,52.183,135.927,7.239,1003.289,1.0,[ 0.         0.2217066]
12,1218.0,3450.0,0.0,0.0,-230.996,518.907,6.93,720.091,1.0,[ 0.         0.2217066]
13,1534.0,2285.0,0.0,0.0,-130.386,225.867,6.928,1790.652,1.0,[ 0.         0.2217066]
14,739.0,1866.0,0.0,0.0,-489.643,218.05,6.869,1263.01,1.0,[ 0.         0.2217066]
15,510.0,1914.0,0.0,0.0,548.8,0.0,6.869,1263.049,1.0,[ 0.         0.2217066]
16,643.0,1915.0,0.0,0.0,-55.694,-5.848,6.869,1263.049,1.0,[ 0.         0.2217066]
17,1512.0,113.0,0.0,0.0,456.348,369.528,6.683,1484.135,1.0,[ 0.         0.2217066]
18,1679.0,180.0,0.0,0.0,-298.916,63.564,6.682,1484.063,1.0,[ 0.         0.2217066]
19,1587.0,1464.0,0.0,0.0,-430.627,139.959,6.606,2184.638,1.0,[ 0.         0.2217066]
20,1449.0,1554.0,0.0,0.0,194.632,-267.977,6.606,2184.638,1.0,[ 0.         0.2217066]
