2.165756034851074219e+01 1.162980175781250000e+04
6.266675415039062500e+02 3.221527709960937500e+02
3.431471252441406250e+01 1.701359863281250000e+02
2.981943359375000000e+03 2.449262380599975586e+00
7.769217529296875000e+02 1.941813201904296875e+02
7.039672088623046875e+01 2.044617187500000000e+03
1.139722633361816406e+01 8.097913360595703125e+01
2.608953285217285156e+01 2.886665725708007812e+01
5.989552307128906250e+01 2.985149955749511719e+01
9.761155128479003906e+00 6.277283096313476562e+01
2.174766235351562500e+02 1.621929550170898438e+01
8.773241043090820312e+00 8.913296699523925781e+00
2.868173599243164062e+01 2.781896362304687500e+02
7.705758666992187500e+01 6.896040439605712891e+00
2.657696151733398438e+01 1.366915588378906250e+02
