5.291755981445312500e+02 4.003289184570312500e+02 6.542954101562500000e+02 3.716924438476562500e+02
1.495921850204467773e+00 7.078601074218750000e+03 8.367003906250000000e+03 1.621280059814453125e+02
3.355031585693359375e+01 8.449192047119140625e+00 1.284582977294921875e+02 3.339921875000000000e+02
9.012315368652343750e+01 1.017414093017578125e+01 8.945141601562500000e+02 3.292405090332031250e+02
-6.984063148498535156e+00 1.153470382690429688e+02 4.125989913940429688e+01 4.944691359996795654e-01
2.630318603515625000e+02 7.579413414001464844e+00 8.132844924926757812e+00 1.020706100463867188e+02
6.463317871093750000e+00 7.476665496826171875e+01 1.345056438446044922e+01 -3.651553153991699219e+00
5.854356765747070312e+00 4.330855178833007812e+01 2.181832695007324219e+01 -1.084014698863029480e-01
5.320069885253906250e+01 -5.442755818367004395e-01 3.794235992431640625e+01 -1.887661218643188477e-02
4.120752334594726562e+01 9.202625274658203125e+00 6.099797725677490234e+00 1.599269409179687500e+02
