t0_x,t0_y,theta_par,theta_perp,v_x,v_y,likelihood,est_flux,field_num,times
1273.0,2803.0,0.0,0.0,-111.51,-524.272,12.348,1395.368,40.0,[ 0.         0.0674054  0.1533105  0.2221775  0.2691429]
1696.0,2694.0,0.0,0.0,-337.68,-464.659,10.725,466.836,40.0,[ 0.         0.0674054  0.1533105  0.2221775  0.2691429]
1593.0,2713.0,0.0,0.0,167.745,-329.342,10.674,467.1,40.0,[ 0.         0.0674054  0.1533105  0.2221775  0.2691429]
1617.0,2497.0,0.0,0.0,-59.344,564.891,10.34,530.842,40.0,[ 0.         0.0674054  0.1533105  0.2221775  0.2691429]
1128.0,1958.0,0.0,0.0,235.2,0.0,10.296,491.32,40.0,[ 0.         0.0674054  0.1533105  0.2221775  0.2691429]
1192.0,1919.0,0.0,0.0,-143.573,93.253,9.332,481.434,40.0,[ 0.         0.0674054  0.1533105  0.2221775  0.2691429]
1307.0,1841.0,0.0,0.0,-536.415,238.879,8.315,359.928,40.0,[ 0.         0.0674054  0.1533105  0.2221775  0.2691429]
1195.0,2542.0,0.0,0.0,123.44,580.624,8.201,409.016,40.0,[ 0.         0.0674054  0.1533105  0.2221775  0.2691429]
1320.0,1921.0,0.0,0.0,-390.285,-173.717,7.902,446.898,40.0,[ 0.         0.0674054  0.1533105  0.2221775  0.2691429]
1326.0,1918.0,0.0,0.0,-410.792,-157.639,7.358,413.286,40.0,[ 0.         0.0674054  0.1533105  0.2221775  0.2691429]
1110.0,2006.0,0.0,0.0,373.491,-461.373,7.357,413.392,40.0,[ 0.         0.0674054  0.1533105  0.2221775  0.2691429]
1632.0,2454.0,0.0,0.0,-122.056,574.375,7.351,414.718,40.0,[ 0.         0.0674054  0.1533105  0.2221775  0.2691429]
768.0,3297.0,0.0,0.0,-20.13,-13.069,6.193,288.159,40.0,[ 0.         0.0674054  0.1533105  0.2221775  0.2691429]
