t0_x,t0_y,theta_par,theta_perp,v_x,v_y,likelihood,est_flux,field_num,times
998.0,1348.0,0.0,0.0,-80.735,301.373,6.573,969.55,24.0,[ 0.         0.0675997  0.1531627  0.2218362  0.2688268]
998.0,1350.0,0.0,0.0,-10.898,-21.383,6.176,248.117,24.0,[ 0.         0.0675997  0.1531627  0.2218362  0.2688268]
830.0,1631.0,0.0,0.0,-336.732,-194.364,6.072,278.874,24.0,[ 0.         0.0675997  0.1531627  0.2218362  0.2688268]
996.0,1351.0,0.0,0.0,-2.512,-23.868,5.801,232.086,24.0,[ 0.         0.0675997  0.1531627  0.2218362  0.2688268]
828.0,1633.0,0.0,0.0,-320.73,-208.235,5.764,272.528,24.0,[ 0.         0.0675997  0.1531627  0.2218362  0.2688268]
748.0,1615.0,0.0,0.0,273.225,14.319,5.517,244.039,24.0,[ 0.         0.0675997  0.1531627  0.2218362  0.2688268]
1000.0,1349.0,0.0,0.0,-21.926,-9.759,5.423,217.184,24.0,[ 0.         0.0675997  0.1531627  0.2218362  0.2688268]
830.0,1634.0,0.0,0.0,-331.466,-215.205,5.411,254.524,24.0,[ 0.         0.0675997  0.1531627  0.2218362  0.2688268]
