t0_x,t0_y,theta_par,theta_perp,v_x,v_y,likelihood,est_flux,field_num,times
1043.0,2438.0,0.0,0.0,120.0,0.0,53.662,6445.246,3.0,[ 0.         0.0680669]
907.0,30.0,0.0,0.0,15.196,-26.33,45.376,5724.476,3.0,[ 0.         0.0680669]
1603.0,1813.0,0.0,0.0,-472.517,-74.792,16.696,7702.0,3.0,[ 0.         0.0680669]
1737.0,2671.0,0.0,0.0,-548.181,210.478,14.48,11902.481,3.0,[ 0.         0.0680669]
836.0,2007.0,0.0,0.0,401.176,-260.623,9.762,2545.482,3.0,[ 0.         0.0680669]
46.0,3569.0,0.0,0.0,86.875,548.361,8.866,3640.165,3.0,[ 0.         0.0680669]
176.0,2945.0,0.0,0.0,-441.176,-397.146,8.753,2315.652,3.0,[ 0.         0.0680669]
1464.0,2028.0,0.0,0.0,-386.618,-223.158,8.475,3623.027,3.0,[ 0.         0.0680669]
456.0,423.0,0.0,0.0,-19.415,14.108,7.659,622.718,3.0,[ 0.         0.0680669]
873.0,1076.0,0.0,0.0,-76.816,485.156,7.605,678.73,3.0,[ 0.         0.0680669]
1502.0,3015.0,0.0,0.0,-297.015,366.833,7.062,1087.902,3.0,[ 0.         0.0680669]
1349.0,1120.0,0.0,0.0,-486.84,-130.396,6.377,1593.592,3.0,[ 0.         0.0680669]
1341.0,2718.0,0.0,0.0,72.855,459.865,6.222,4165.087,3.0,[ 0.         0.0680669]
996.0,1278.0,0.0,0.0,91.419,-430.398,5.919,780.394,3.0,[ 0.         0.0680669]
1372.0,3355.0,0.0,0.0,-560.997,150.37,5.24,932.009,3.0,[ 0.         0.0680669]
