t0_x,t0_y,theta_par,theta_perp,v_x,v_y,likelihood,est_flux,field_num,times
625.0,80.0,0.0,0.0,18.395,-31.873,15.685,724.613,48.0,[ 0.         0.084914   0.1534641  0.2224485  0.2693205]
1018.0,1071.0,0.0,0.0,272.101,28.598,9.023,418.8,48.0,[ 0.         0.084914   0.1534641  0.2224485  0.2693205]
633.0,233.0,0.0,0.0,223.141,-501.387,6.711,319.366,48.0,[ 0.         0.084914   0.1534641  0.2224485  0.2693205]
1186.0,220.0,0.0,0.0,132.8,0.0,6.543,260.701,48.0,[ 0.         0.084914   0.1534641  0.2224485  0.2693205]
1448.0,201.0,0.0,0.0,83.773,-529.413,5.877,251.447,48.0,[ 0.         0.084914   0.1534641  0.2224485  0.2693205]
545.0,17.0,0.0,0.0,356.39,356.374,5.75,237.376,48.0,[ 0.         0.084914   0.1534641  0.2224485  0.2693205]
