t0_x,t0_y,theta_par,theta_perp,v_x,v_y,likelihood,est_flux,field_num,times
802.0,1147.0,0.0,0.0,21.925,9.761,8.885,370.379,36.0,[ 0.         0.0674253  0.1533095  0.2219775  0.2689763]
602.0,807.0,0.0,0.0,-103.719,-159.67,8.514,500.162,36.0,[ 0.         0.0674253  0.1533095  0.2219775  0.2689763]
305.0,487.0,0.0,0.0,491.854,-284.084,5.745,270.705,36.0,[ 0.         0.0674253  0.1533095  0.2219775  0.2689763]
810.0,1151.0,0.0,0.0,-26.329,-15.197,5.68,231.701,36.0,[ 0.         0.0674253  0.1533095  0.2219775  0.2689763]
786.0,1280.0,0.0,0.0,-60.119,-571.245,5.572,254.931,36.0,[ 0.         0.0674253  0.1533095  0.2219775  0.2689763]
1810.0,1426.0,0.0,0.0,0.021,459.2,5.447,229.405,36.0,[ 0.         0.0674253  0.1533095  0.2219775  0.2689763]
979.0,1402.0,0.0,0.0,-83.555,-163.935,5.281,244.353,36.0,[ 0.         0.0674253  0.1533095  0.2219775  0.2689763]
826.0,1133.0,0.0,0.0,-201.647,77.424,5.17,229.423,36.0,[ 0.         0.0674253  0.1533095  0.2219775  0.2689763]
785.0,1280.0,0.0,0.0,-30.476,-580.0,5.163,236.155,36.0,[ 0.         0.0674253  0.1533095  0.2219775  0.2689763]
1810.0,1427.0,0.0,0.0,0.021,459.2,5.147,211.828,36.0,[ 0.         0.0674253  0.1533095  0.2219775  0.2689763]
