t0_x,t0_y,theta_par,theta_perp,v_x,v_y,likelihood,est_flux,field_num,times
1631.0,127.0,0.0,0.0,24.0,0.0,49.473,1.79226935296e+12,20.0,[ 0.         0.0675987  0.1530601  0.22181    0.2688016]
1840.0,489.0,0.0,0.0,24.0,0.0,49.473,1.79226935296e+12,20.0,[ 0.         0.0675987  0.1530601  0.22181    0.2688016]
20.0,691.0,0.0,0.0,10.896,21.384,49.473,1.79226935296e+12,20.0,[ 0.         0.0675987  0.1530601  0.22181    0.2688016]
1949.0,1502.0,0.0,0.0,-22.407,-8.599,49.473,1.79226935296e+12,20.0,[ 0.         0.0675987  0.1530601  0.22181    0.2688016]
1930.0,1725.0,0.0,0.0,24.0,0.0,49.473,1.79226935296e+12,20.0,[ 0.         0.0675987  0.1530601  0.22181    0.2688016]
1949.0,2283.0,0.0,0.0,-21.926,-9.759,49.473,1.79226935296e+12,20.0,[ 0.         0.0675987  0.1530601  0.22181    0.2688016]
1932.0,2925.0,0.0,0.0,24.0,0.0,49.473,1.79226935296e+12,20.0,[ 0.         0.0675987  0.1530601  0.22181    0.2688016]
1851.0,3310.0,0.0,0.0,-9.76,21.926,49.473,1.79226935296e+12,20.0,[ 0.         0.0675987  0.1530601  0.22181    0.2688016]
1854.0,3493.0,0.0,0.0,-21.383,10.897,49.473,1.79226935296e+12,20.0,[ 0.         0.0675987  0.1530601  0.22181    0.2688016]
413.0,1286.0,0.0,0.0,-239.556,-64.163,5.302,234.513,20.0,[ 0.         0.0675987  0.1530601  0.22181    0.2688016]
