t0_x,t0_y,theta_par,theta_perp,v_x,v_y,likelihood,est_flux,field_num,times
765.0,2251.0,0.0,0.0,95.263,-61.887,51.365,3948.468,50.0,[ 0.         0.0849007  0.153572   0.2225515  0.2694271]
822.0,2134.0,0.0,0.0,-283.97,491.92,35.009,2570.931,50.0,[ 0.         0.0849007  0.153572   0.2225515  0.2694271]
638.0,2396.0,0.0,0.0,181.372,-558.487,22.311,1126.371,50.0,[ 0.         0.0849007  0.153572   0.2225515  0.2694271]
548.0,2113.0,0.0,0.0,487.105,316.318,21.636,1022.787,50.0,[ 0.         0.0849007  0.153572   0.2225515  0.2694271]
550.0,2341.0,0.0,0.0,514.022,-296.887,18.226,882.805,50.0,[ 0.         0.0849007  0.153572   0.2225515  0.2694271]
1922.0,549.0,0.0,0.0,-194.308,299.25,16.394,1044.935,50.0,[ 0.         0.0849007  0.153572   0.2225515  0.2694271]
963.0,2262.0,0.0,0.0,-586.301,-92.802,15.711,703.136,50.0,[ 0.         0.0849007  0.153572   0.2225515  0.2694271]
500.0,2178.0,0.0,0.0,590.348,62.046,12.105,520.775,50.0,[ 0.         0.0849007  0.153572   0.2225515  0.2694271]
525.0,2335.0,0.0,0.0,528.855,-269.58,11.044,490.766,50.0,[ 0.         0.0849007  0.153572   0.2225515  0.2694271]
1578.0,2180.0,0.0,0.0,554.136,-212.824,11.044,477.345,50.0,[ 0.         0.0849007  0.153572   0.2225515  0.2694271]
589.0,1996.0,0.0,0.0,397.207,441.121,10.912,461.835,50.0,[ 0.         0.0849007  0.153572   0.2225515  0.2694271]
1700.0,2137.0,0.0,0.0,8.597,-22.407,10.009,412.752,50.0,[ 0.         0.0849007  0.153572   0.2225515  0.2694271]
501.0,2108.0,0.0,0.0,514.077,296.792,9.062,394.713,50.0,[ 0.         0.0849007  0.153572   0.2225515  0.2694271]
568.0,2407.0,0.0,0.0,323.22,-497.885,9.019,613.578,50.0,[ 0.         0.0849007  0.153572   0.2225515  0.2694271]
621.0,2442.0,0.0,0.0,212.644,-554.205,8.33,395.038,50.0,[ 0.         0.0849007  0.153572   0.2225515  0.2694271]
569.0,2021.0,0.0,0.0,528.905,269.481,8.202,337.748,50.0,[ 0.         0.0849007  0.153572   0.2225515  0.2694271]
621.0,2443.0,0.0,0.0,212.644,-554.205,8.198,387.815,50.0,[ 0.         0.0849007  0.153572   0.2225515  0.2694271]
1701.0,2137.0,0.0,0.0,8.597,-22.407,8.118,334.465,50.0,[ 0.         0.0849007  0.153572   0.2225515  0.2694271]
504.0,2359.0,0.0,0.0,497.78,-323.382,7.325,341.694,50.0,[ 0.         0.0849007  0.153572   0.2225515  0.2694271]
