t0_x,t0_y,theta_par,theta_perp,v_x,v_y,likelihood,est_flux,field_num,times
61.0,3772.0,0.0,0.0,-16.649,317.964,16.785,6314.222,10.0,[ 0.         0.067934   0.1530866]
1856.0,570.0,0.0,0.0,160.824,221.343,8.722,553.102,10.0,[ 0.         0.067934   0.1530866]
1672.0,2038.0,0.0,0.0,-442.0,255.234,8.035,3255.976,10.0,[ 0.         0.067934   0.1530866]
1648.0,3945.0,0.0,0.0,-192.034,-431.169,6.499,1390.91,10.0,[ 0.         0.067934   0.1530866]
399.0,1962.0,0.0,0.0,-242.452,-419.819,5.686,412.003,10.0,[ 0.         0.067934   0.1530866]
410.0,2759.0,0.0,0.0,-65.35,100.645,5.643,701.23,10.0,[ 0.         0.067934   0.1530866]
