t0_x,t0_y,theta_par,theta_perp,v_x,v_y,likelihood,est_flux,field_num,times
106.0,3123.0,0.0,0.0,19.285,59.345,11.754,607.587,21.0,[ 0.         0.0676004  0.1530585  0.2218154  0.2688055]
236.0,2613.0,0.0,0.0,-52.925,-162.814,7.375,400.868,21.0,[ 0.         0.0676004  0.1530585  0.2218154  0.2688055]
87.0,3268.0,0.0,0.0,30.649,-586.4,5.519,251.337,21.0,[ 0.         0.0676004  0.1530585  0.2218154  0.2688055]
193.0,2514.0,0.0,0.0,160.755,361.028,5.103,231.811,21.0,[ 0.         0.0676004  0.1530585  0.2218154  0.2688055]
1164.0,2648.0,0.0,0.0,-170.742,-334.997,5.051,205.88,21.0,[ 0.         0.0676004  0.1530585  0.2218154  0.2688055]
