t0_x,t0_y,theta_par,theta_perp,v_x,v_y,likelihood,est_flux,field_num,times
425.0,862.0,0.0,0.0,-98.422,98.436,10.542,563.344,39.0,[ 0.         0.0674098  0.1533222  0.2221441  0.2691402]
384.0,747.0,0.0,0.0,116.785,549.323,9.316,391.97,39.0,[ 0.         0.0674098  0.1533222  0.2221441  0.2691402]
389.0,1777.0,0.0,0.0,293.697,264.434,7.695,330.087,39.0,[ 0.         0.0674098  0.1533222  0.2221441  0.2691402]
499.0,1821.0,0.0,0.0,-92.789,436.65,7.136,362.495,39.0,[ 0.         0.0674098  0.1533222  0.2221441  0.2691402]
462.0,1978.0,0.0,0.0,108.851,-406.478,6.709,381.073,39.0,[ 0.         0.0674098  0.1533222  0.2221441  0.2691402]
516.0,745.0,0.0,0.0,-406.579,329.29,6.607,330.766,39.0,[ 0.         0.0674098  0.1533222  0.2221441  0.2691402]
389.0,1760.0,0.0,0.0,293.616,508.521,6.603,277.331,39.0,[ 0.         0.0674098  0.1533222  0.2221441  0.2691402]
362.0,739.0,0.0,0.0,183.453,564.54,6.586,279.915,39.0,[ 0.         0.0674098  0.1533222  0.2221441  0.2691402]
461.0,1979.0,0.0,0.0,112.162,-418.842,6.447,374.829,39.0,[ 0.         0.0674098  0.1533222  0.2221441  0.2691402]
1060.0,2043.0,0.0,0.0,-199.846,-448.708,5.271,278.115,39.0,[ 0.         0.0674098  0.1533222  0.2221441  0.2691402]
584.0,347.0,0.0,0.0,-34.952,-25.388,5.162,219.245,39.0,[ 0.         0.0674098  0.1533222  0.2221441  0.2691402]
