t0_x,t0_y,theta_par,theta_perp,v_x,v_y,likelihood,est_flux,field_num,times
83.0,683.0,0.0,0.0,-12.003,-20.783,12.747,751.137,12.0,[ 0.         0.0678454  0.1531236  0.2217624]
1838.0,554.0,0.0,0.0,273.013,303.196,10.597,574.329,12.0,[ 0.         0.0678454  0.1531236  0.2217624]
973.0,524.0,0.0,0.0,-492.977,104.83,7.324,379.821,12.0,[ 0.         0.0678454  0.1531236  0.2217624]
903.0,3164.0,0.0,0.0,-118.137,-95.643,5.458,362.453,12.0,[ 0.         0.0678454  0.1531236  0.2217624]
1345.0,2871.0,0.0,0.0,-80.819,510.441,5.403,424.913,12.0,[ 0.         0.0678454  0.1531236  0.2217624]
1489.0,3306.0,0.0,0.0,-489.683,-217.959,5.238,273.612,12.0,[ 0.         0.0678454  0.1531236  0.2217624]
