t0_x,t0_y,theta_par,theta_perp,v_x,v_y,likelihood,est_flux,field_num,times
1884.0,562.0,0.0,0.0,95.66,118.124,21.207,1620.673,3.0,[ 0.         0.0680669  0.153106   0.2217407]
1096.0,1708.0,0.0,0.0,93.235,-14.784,9.654,7304.396,3.0,[ 0.         0.0680669  0.153106   0.2217407]
431.0,3191.0,0.0,0.0,-91.181,24.44,7.868,2514.844,3.0,[ 0.         0.0680669  0.153106   0.2217407]
476.0,3780.0,0.0,0.0,11.274,-215.706,5.655,1713.01,3.0,[ 0.         0.0680669  0.153106   0.2217407]
765.0,1802.0,0.0,0.0,-77.604,25.222,5.646,3110.185,3.0,[ 0.         0.0680669  0.153106   0.2217407]
