t0_x,t0_y,theta_par,theta_perp,v_x,v_y,likelihood,est_flux,field_num,times
1488.0,3962.0,0.0,0.0,-14.109,-19.415,7.286,302.949,27.0,[ 0.         0.0675336  0.1531394  0.2217816  0.2688571]
1489.0,3964.0,0.0,0.0,-18.404,-31.867,6.983,296.046,27.0,[ 0.         0.0675336  0.1531394  0.2217816  0.2688571]
1485.0,3958.0,0.0,0.0,19.417,14.106,6.787,275.966,27.0,[ 0.         0.0675336  0.1531394  0.2217816  0.2688571]
1489.0,3959.0,0.0,0.0,-21.926,-9.759,6.745,286.72,27.0,[ 0.         0.0675336  0.1531394  0.2217816  0.2688571]
1492.0,3965.0,0.0,0.0,-33.193,-36.856,6.596,285.215,27.0,[ 0.         0.0675336  0.1531394  0.2217816  0.2688571]
1483.0,3956.0,0.0,0.0,17.836,16.059,6.485,281.63,27.0,[ 0.         0.0675336  0.1531394  0.2217816  0.2688571]
1488.0,3958.0,0.0,0.0,-22.407,-8.599,6.427,303.778,27.0,[ 0.         0.0675336  0.1531394  0.2217816  0.2688571]
1491.0,3960.0,0.0,0.0,-27.773,-12.362,6.385,267.772,27.0,[ 0.         0.0675336  0.1531394  0.2217816  0.2688571]
1495.0,3968.0,0.0,0.0,-53.181,-53.168,5.845,278.855,27.0,[ 0.         0.0675336  0.1531394  0.2217816  0.2688571]
1503.0,3975.0,0.0,0.0,-84.863,-84.843,5.02,233.4,27.0,[ 0.         0.0675336  0.1531394  0.2217816  0.2688571]
1504.0,3976.0,0.0,0.0,-89.389,-89.368,5.005,232.795,27.0,[ 0.         0.0675336  0.1531394  0.2217816  0.2688571]
1505.0,3979.0,0.0,0.0,-93.155,-103.435,5.001,232.33,27.0,[ 0.         0.0675336  0.1531394  0.2217816  0.2688571]
