t0_x,t0_y,theta_par,theta_perp,v_x,v_y,likelihood,est_flux,field_num,times
653.0,2321.0,0.0,0.0,-552.359,179.523,11.869,577.052,44.0,[ 0.         0.0674556  0.1534384  0.2223245  0.2692793]
648.0,2336.0,0.0,0.0,-494.714,-252.003,6.064,248.472,44.0,[ 0.         0.0674556  0.1534384  0.2223245  0.2692793]
408.0,2416.0,0.0,0.0,506.34,-194.467,5.615,238.795,44.0,[ 0.         0.0674556  0.1534384  0.2223245  0.2692793]
604.0,2418.0,0.0,0.0,-118.908,-443.538,5.572,263.808,44.0,[ 0.         0.0674556  0.1534384  0.2223245  0.2692793]
483.0,2194.0,0.0,0.0,0.025,529.6,5.402,300.889,44.0,[ 0.         0.0674556  0.1534384  0.2223245  0.2692793]
639.0,2341.0,0.0,0.0,-433.456,-281.422,5.394,251.924,44.0,[ 0.         0.0674556  0.1534384  0.2223245  0.2692793]
477.0,2192.0,0.0,0.0,28.076,535.264,5.231,293.226,44.0,[ 0.         0.0674556  0.1534384  0.2223245  0.2692793]
406.0,2417.0,0.0,0.0,306.552,-306.651,5.16,216.857,44.0,[ 0.         0.0674556  0.1534384  0.2223245  0.2692793]
615.0,2431.0,0.0,0.0,-157.785,-485.399,5.087,234.033,44.0,[ 0.         0.0674556  0.1534384  0.2223245  0.2692793]
427.0,2205.0,0.0,0.0,236.251,530.579,5.056,215.42,44.0,[ 0.         0.0674556  0.1534384  0.2223245  0.2692793]
604.0,2449.0,0.0,0.0,-120.831,-568.092,5.024,206.867,44.0,[ 0.         0.0674556  0.1534384  0.2223245  0.2692793]
