t0_x,t0_y,theta_par,theta_perp,v_x,v_y,likelihood,est_flux,field_num,times
114.0,1410.0,0.0,0.0,-212.798,-554.146,23.645,1514.075,19.0,[ 0.         0.0675857  0.1530145  0.2217388  0.2687512]
193.0,1318.0,0.0,0.0,-528.93,-269.432,18.879,1036.823,19.0,[ 0.         0.0675857  0.1530145  0.2217388  0.2687512]
538.0,3305.0,0.0,0.0,-51.594,-242.574,5.508,238.207,19.0,[ 0.         0.0675857  0.1530145  0.2217388  0.2687512]
568.0,2987.0,0.0,0.0,-461.287,373.598,5.111,228.04,19.0,[ 0.         0.0675857  0.1530145  0.2217388  0.2687512]
