t0_x,t0_y,theta_par,theta_perp,v_x,v_y,likelihood,est_flux,field_num,times
1850.0,3696.0,0.0,0.0,212.417,-262.398,7.186,334.703,37.0,[ 0.         0.0674173  0.1533126  0.222032   0.269017 ]
433.0,1127.0,0.0,0.0,-466.156,237.565,5.308,227.534,37.0,[ 0.         0.0674173  0.1533126  0.222032   0.269017 ]
1298.0,3519.0,0.0,0.0,-449.157,95.512,5.306,212.11,37.0,[ 0.         0.0674173  0.1533126  0.222032   0.269017 ]
856.0,724.0,0.0,0.0,-162.816,52.917,5.088,210.195,37.0,[ 0.         0.0674173  0.1533126  0.222032   0.269017 ]
