t0_x,t0_y,theta_par,theta_perp,v_x,v_y,likelihood,est_flux,field_num,times
1906.0,490.0,0.0,0.0,-10.898,-21.383,49.473,1.79226935296e+12,21.0,[ 0.         0.0676004  0.1530585  0.2218154  0.2688055]
1847.0,1694.0,0.0,0.0,-18.653,-15.102,49.473,1.79226935296e+12,21.0,[ 0.         0.0676004  0.1530585  0.2218154  0.2688055]
1912.0,1745.0,0.0,0.0,21.925,9.761,49.473,1.79226935296e+12,21.0,[ 0.         0.0676004  0.1530585  0.2218154  0.2688055]
1874.0,3518.0,0.0,0.0,-3.753,23.705,49.473,1.79226935296e+12,21.0,[ 0.         0.0676004  0.1530585  0.2218154  0.2688055]
1923.0,2532.0,0.0,0.0,-15.102,18.653,12.014,1.05698402304e+11,21.0,[ 0.         0.0676004  0.1530585  0.2218154  0.2688055]
