t0_x,t0_y,theta_par,theta_perp,v_x,v_y,likelihood,est_flux,field_num,times
1928.0,250.0,0.0,0.0,-17.837,-16.057,49.473,1.79226935296e+12,17.0,[ 0.         0.0675987  0.15304    0.2216708  0.2686482]
33.0,821.0,0.0,0.0,24.0,0.0,49.473,1.79226935296e+12,17.0,[ 0.         0.0675987  0.15304    0.2216708  0.2686482]
1283.0,1361.0,0.0,0.0,-21.383,10.897,49.473,1.79226935296e+12,17.0,[ 0.         0.0675987  0.15304    0.2216708  0.2686482]
1944.0,2713.0,0.0,0.0,23.705,3.754,49.473,1.79226935296e+12,17.0,[ 0.         0.0675987  0.15304    0.2216708  0.2686482]
1929.0,2861.0,0.0,0.0,24.0,0.0,49.473,1.79226935296e+12,17.0,[ 0.         0.0675987  0.15304    0.2216708  0.2686482]
1928.0,3204.0,0.0,0.0,24.0,0.0,49.473,1.79226935296e+12,17.0,[ 0.         0.0675987  0.15304    0.2216708  0.2686482]
1895.0,1623.0,0.0,0.0,-23.868,2.511,34.982,8.9613467648e+11,17.0,[ 0.         0.0675987  0.15304    0.2216708  0.2686482]
1112.0,165.0,0.0,0.0,3.755,23.704,12.014,1.05698402304e+11,17.0,[ 0.         0.0675987  0.15304    0.2216708  0.2686482]
1239.0,1996.0,0.0,0.0,-134.454,36.039,5.032,657.386,17.0,[ 0.         0.0675987  0.15304    0.2216708  0.2686482]
