# x y xv yv likelihood flux
40 31 19.9001 1.99667 35.4528 35.4528
40 31 18.0267 22.7165 35.4371 32.3495
42 35 18.1144 18.6513 35.4334 35.4334
23 0 16.5067 11.2928 35.4316 25.0539
40 33 15.2968 12.8844 35.4004 29.9188
30 5 14.297 18.0165 35.396 25.0287
41 30 19.1067 5.9104 35.3762 35.3762
45 39 24.8387 7.68353 35.3696 55.9242
45 39 23.9476 10.1249 35.3696 55.9242
45 39 22.8171 12.4651 35.3696 55.9242
42 35 19.8859 16.7497 35.3694 39.5442
40 31 19.8915 25.0665 35.3677 35.3677
23 43 16.5067 11.2928 35.339 32.26
41 34 16.0243 16.4992 35.3242 32.2465
41 31 19.6013 3.97339 35.3141 35.3141
24 43 13.9341 14.3471 35.3099 35.3099
40 29 18.4212 7.78837 35.2674 32.1946
39 30 21.9727 6.79697 35.2586 35.2586
40 33 18.1144 18.6513 35.2358 32.1658
44 36 14.297 18.0165 35.2273 39.3853
41 34 17.5914 14.817 35.1978 35.1978
26 46 16.5067 11.2928 35.1825 39.3352
40 31 13.9341 14.3471 35.1696 29.7238
29 3 12.4322 15.6665 35.1522 24.8564
38 30 22.5415 4.56939 35.1321 32.0711
40 34 15.2968 12.8844 35.1067 29.6706
40 31 22.5415 4.56939 35.0974 35.0974
44 37 16.0243 16.4992 35.0712 39.2108
44 38 17.5517 9.58851 35.0585 39.1966
41 33 18.0267 22.7165 35.0527 35.0527
39 31 19.6013 3.97339 35.0453 31.9918
45 38 15.2968 12.8844 35.0351 45.2301
38 29 12.4322 15.6665 35.0175 24.7611
39 31 26 0 34.9906 34.9906
43 36 22.1804 18.6823 34.9767 45.1548
42 36 18.9827 12.9868 34.9467 39.0716
42 36 21.4587 14.6807 34.9467 39.0716
44 38 21.4587 14.6807 34.9453 45.1142
44 38 18.9827 12.9868 34.9453 45.1142
39 31 18.0267 22.7165 34.9249 31.8819
44 37 16.5067 11.2928 34.8413 38.9537
42 34 16.0243 16.4992 34.8378 34.8378
48 3 13.9341 14.3471 34.8254 55.0639
24 44 17.5914 14.817 34.7997 38.9072
43 38 21.9727 6.79697 34.7941 44.9189
44 39 19.9001 1.99667 34.7758 44.8953
44 39 20 0 34.7758 44.8953
25 45 15.2968 12.8844 34.7714 38.8757
44 38 21.9727 6.79697 34.7509 44.8632
44 38 19.1067 5.9104 34.7509 44.8632
42 30 18.4212 7.78837 34.7475 34.7475
43 37 15.2968 12.8844 34.7475 34.7475
41 32 20 0 34.7197 34.7197
27 45 13.9341 14.3471 34.6721 38.7645
40 30 16.1619 20.3665 34.6651 31.6448
39 30 19.9001 1.99667 34.6364 31.6186
45 39 22.5415 4.56939 34.6256 54.7479
45 39 22.8851 2.29617 34.6256 54.7479
45 39 23 0 34.6256 54.7479
26 45 16.0243 16.4992 34.6013 44.6701
43 35 12.4322 15.6665 34.5871 31.5736
5 0 12.4322 15.6665 34.5832 24.454
39 33 15.2968 12.8844 34.5528 29.2024
24 0 15.2968 12.8844 34.5086 24.4013
40 32 14.297 18.0165 34.4936 29.1524
44 39 18.4212 7.78837 34.4704 44.5011
44 39 21.1844 8.95662 34.4704 44.5011
44 39 20.1844 11.0268 34.4704 44.5011
43 38 20.1844 11.0268 34.4535 38.5202
43 38 21.1844 8.95662 34.4535 38.5202
42 33 14.297 18.0165 34.4478 31.4464
44 38 19.8859 16.7497 34.4456 44.4691
39 31 14.297 18.0165 34.4203 27.2117
26 45 20.2045 20.8033 34.4077 44.4201
26 45 18.1144 18.6513 34.4077 44.4201
26 45 22.1804 18.6823 34.4077 44.4201
42 36 26.4107 18.0686 34.354 44.3508
43 35 21.7563 27.4164 34.2968 44.277
25 43 14.297 18.0165 34.2841 38.3308
40 31 20 0 34.253 34.253
41 30 18.4212 7.78837 34.252 34.252
39 29 14.297 18.0165 34.2469 27.0745
43 31 19.6013 3.97339 34.2033 38.2404
45 38 23.9347 16.3746 34.194 54.0655
45 38 24.475 20.615 34.194 54.0655
25 43 13.9341 14.3471 34.1671 34.1671
42 31 22.5415 4.56939 34.1625 38.1948
42 35 14.297 18.0165 34.157 31.1809
24 43 15.2968 12.8844 34.1554 31.1795
43 36 17.5914 14.817 34.1512 38.1822
40 32 23 0 34.1465 34.1465
23 44 20.1844 11.0268 34.1288 34.1288
38 29 18.4212 7.78837 34.1149 28.8323
27 46 15.2968 12.8844 34.1137 44.0406
25 1 15.2968 12.8844 34.1001 24.1124
26 43 12.4322 15.6665 34.086 34.086
25 42 12.4322 15.6665 34.0832 34.0832
30 5 20 0 34.0735 24.0936
39 29 16.1619 20.3665 34.0692 28.7937
43 39 21.9727 6.79697 34.0675 43.9809
42 34 16.1619 20.3665 34.0623 34.0623
20 7 12.4322 15.6665 34.0518 24.0783
40 34 17.5914 14.817 34.0482 31.0816
38 29 19.1067 5.9104 34.0124 28.7457
38 30 19.6013 3.97339 33.9971 31.0349
43 35 13.9341 14.3471 33.9763 33.9763
38 28 12.4322 15.6665 33.9594 24.0129
44 36 12.4322 15.6665 33.9525 33.9525
40 33 20.2045 20.8033 33.9457 33.9457
43 39 19.6013 3.97339 33.9196 37.9233
44 37 19.8859 16.7497 33.9183 43.7883
26 44 16.0243 16.4992 33.8815 37.8807
20 7 14.297 18.0165 33.8667 23.9474
26 45 23.9347 16.3746 33.8663 43.7212
25 45 23.9347 16.3746 33.8565 43.7086
44 38 15.2968 12.8844 33.8399 37.8341
39 30 27.3508 34.4664 33.836 37.8298
27 46 13.9341 14.3471 33.8332 43.6785
43 31 20 0 33.8295 37.8225
27 45 16.0243 16.4992 33.8272 43.6708
39 31 22.8851 2.29617 33.8203 33.8203
39 29 18.0267 22.7165 33.8202 30.8735
41 35 16.5067 11.2928 33.8192 30.8726
42 37 16.5067 11.2928 33.811 33.811
31 6 26.4107 18.0686 33.7908 26.714
42 31 23 0 33.7887 37.7769
42 39 19.9001 1.99667 33.7887 37.7769
23 44 16.5067 11.2928 33.7824 33.7824
41 32 16.1619 20.3665 33.7237 30.7854
39 30 21.7563 27.4164 33.7199 33.7199
30 6 21.4587 14.6807 33.6962 23.8268
23 0 15.2968 12.8844 33.692 23.8238
38 31 22.8851 2.29617 33.6871 30.752
25 44 18.1144 18.6513 33.6766 43.4764
25 44 22.1804 18.6823 33.6766 43.4764
25 44 20.2045 20.8033 33.6766 43.4764
43 37 21.4587 14.6807 33.6552 37.6277
43 37 18.9827 12.9868 33.6552 37.6277
24 1 16.5067 11.2928 33.6275 23.7782
43 38 18.4212 7.78837 33.6246 37.5935
41 31 19.1067 5.9104 33.6212 33.6212
22 1 16.5067 11.2928 33.6109 23.7665
45 38 13.9341 14.3471 33.6001 37.5661
42 37 20.1844 11.0268 33.5995 37.5654
42 37 21.1844 8.95662 33.5995 37.5654
41 32 19.9001 1.99667 33.5988 33.5988
39 29 20.1844 11.0268 33.5919 30.6651
41 35 21.4587 14.6807 33.5738 37.5366
43 36 16.5067 11.2928 33.5718 37.5344
43 36 19.8859 16.7497 33.5596 37.5207
24 43 16.0243 16.4992 33.5592 37.5203
44 40 19.9001 1.99667 33.5385 43.298
44 40 20 0 33.5385 43.298
29 5 17.5517 9.58851 33.5362 23.7136
41 33 16.1619 20.3665 33.5349 30.613
24 44 19.8859 16.7497 33.5212 37.4778
6 3 13.9341 14.3471 33.5208 23.7028
38 30 18.1144 18.6513 33.5069 28.3185
40 32 24.3847 25.1075 33.5061 37.461
40 30 14.297 18.0165 33.5042 28.3162
28 2 12.4322 15.6665 33.4971 23.686
44 31 17.5517 9.58851 33.4952 37.4488
29 4 12.4322 15.6665 33.4894 23.6806
24 45 16.5067 11.2928 33.4563 37.4052
45 38 22.8171 12.4651 33.4501 52.8892
45 38 23.9476 10.1249 33.4501 52.8892
45 38 24.8387 7.68353 33.4501 52.8892
41 35 17.5517 9.58851 33.4345 33.4345
44 39 16.5067 11.2928 33.4286 37.3743
42 35 12.4322 15.6665 33.4117 28.2381
29 4 14.297 18.0165 33.3996 23.617
43 39 19.9001 1.99667 33.3935 37.3351
42 39 19.6013 3.97339 33.3559 37.2931
44 38 13.9341 14.3471 33.3387 37.2738
24 1 15.2968 12.8844 33.3303 23.5681
45 40 23 0 33.3185 52.6812
45 40 22.8851 2.29617 33.3185 52.6812
45 40 22.5415 4.56939 33.3185 52.6812
30 5 23 0 33.3019 24.8218
43 39 19.1067 5.9104 33.2982 37.2285
40 31 19.6013 3.97339 33.2664 33.2664
45 39 21.1844 8.95662 33.2611 42.9399
