oid,num_with_oid,num_results_no_filter,check_results_no_filter,num_results_peak,check_results_peak,num_results_pred,check_results_pred,mean_dx,max_dx,min_dx,max_dx_diff,min_dx_diff,mean_dy,max_dy,min_dy,max_dy_diff,min_dy_diff
204287.0,70.0,126.0,2.0,97.0,2.0,29.0,1.0,0.38980506894749983,0.4085468730377215,0.3851969034931244,0.018741804090221692,-0.004608165454375424,-0.1247412230491855,-0.12365488277634995,-0.13031179783922653,0.001086340272835551,-0.005570574790041027
489097.0,70.0,93.0,0.0,,,,,0.47558607931168406,0.4985548309286969,0.4698625223381896,0.02296875161701284,-0.00572355697349447,-0.2838087030711616,-0.28124386444346783,-0.29660553771157083,0.0025648386276937996,-0.012796834640409205
587985.0,60.0,104.0,0.0,,,,,0.36572154036143883,0.3714552552683017,0.36191562580597747,0.0057337149068628634,-0.003805914555461365,-0.1391383572958685,-0.1380503450350261,-0.14084709058352018,0.0010880122608423748,-0.001708733287651698
601439.0,70.0,125.0,1.0,76.0,1.0,28.0,0.0,0.50125491812464,0.5254758296377986,0.49521049994928035,0.02422091151315864,-0.006044418175359612,-0.1896238535829164,-0.18796026030031499,-0.1981079095558016,0.0016635932826014055,-0.008484055972885207
1533755.0,70.0,115.0,0.0,,,,,0.5622840950965523,0.5894130148831209,0.555545434341866,0.027128919786568617,-0.006738660754686321,-0.19369327139188097,-0.1920021441510471,-0.2023486239588692,0.0016911272408338673,-0.00865535256698824
1668438.0,70.0,140.0,0.0,,,,,0.3506035650638002,0.3675361644991426,0.3463840731610617,0.01693259943534242,-0.004219491902738515,-0.197514235495626,-0.19573253470753116,-0.20641573346028963,0.0017817007880948366,-0.008901497964663635
2674005.0,70.0,121.0,1.0,52.0,1.0,23.0,1.0,0.562507787068144,0.5897002798128597,0.5557133202482873,0.02719249274471569,-0.006794466819856626,-0.35491174763880656,-0.3516969289368035,-0.370924261615869,0.003214818702003075,-0.016012513977062437
2706546.0,70.0,139.0,1.0,114.0,1.0,29.0,1.0,0.31783987502987043,0.33315253508044407,0.3140530253083398,0.015312660050573634,-0.0037868497215306496,-0.12858674079967947,-0.12744862898705378,-0.13435313689149098,0.0011381118126256862,-0.00576639609181151
2820143.0,70.0,173.0,0.0,,,,,0.23746947455300843,0.24890860000550674,0.23464086476678858,0.011439125452498311,-0.002828609786219849,-0.10441181137968958,-0.10348303080741061,-0.10910022994517021,0.0009287805722789644,-0.004688418565480634
3581634.0,70.0,142.0,0.0,,,,,0.31975702672060136,0.33518366756698015,0.3159252209279657,0.015426640846378792,-0.0038318057926356452,-0.16085054940085583,-0.15940830700776587,-0.16808823357996516,0.0014422423930899597,-0.007237684179109333
3590834.0,70.0,113.0,0.0,,,,,0.6025775656381109,0.6316825293815782,0.5953234295416223,0.02910496374346727,-0.007254136096488617,-0.19052773631846728,-0.18888620371728848,-0.19901278071586148,0.0016415326011788023,-0.008485044397394198
4429299.0,140.0,122.0,2.0,92.0,2.0,30.0,1.0,0.1061721379935534,0.958739822908683,-0.7434411147387436,0.8525676849151296,-0.849613252732297,-0.05580886702522469,1.7480786807786899,-1.8606863019908815,1.8038875478039145,-1.804877434965657
4491471.0,70.0,129.0,0.0,,,,,0.3748430203984499,0.3929562491869092,0.37032344816293516,0.01811322878845928,-0.004519572235514746,-0.18016825971163292,-0.17855785458573337,-0.18826846601268699,0.00161040512589955,-0.00810020630105407
4597329.0,70.0,154.0,0.0,,,,,0.25280748766310274,0.2649469355073961,0.2498338802897706,0.012139447844293383,-0.002973607373332132,-0.08581523136289139,-0.08506090530545407,-0.08965666847279863,0.0007543260574373184,-0.003841437109907239
4811755.0,70.0,100.0,1.0,68.0,1.0,21.0,1.0,0.41810970525794827,0.4383168157369255,0.41306613958272465,0.02020711047897722,-0.005043565675223627,-0.24519369008140923,-0.2429797175270778,-0.256246875706438,0.0022139725543314226,-0.011053185625028772
4933291.0,70.0,140.0,1.0,110.0,1.0,27.0,1.0,0.3480923693649796,0.36482330161175014,0.34398293884714803,0.016730932246770525,-0.00410943051783158,-0.11768280154597853,-0.1166511439603255,-0.12294709984576002,0.0010316575856530313,-0.005264298299781492
5618119.0,70.0,150.0,2.0,125.0,2.0,32.0,1.0,0.04642045377042838,0.04864683450341545,0.04587714989088454,0.002226380732987067,-0.0005433038795438425,-0.01970484979808121,-0.01952866265060038,-0.020590850399003102,0.00017618714748082742,-0.0008860006009218935
5946880.0,70.0,127.0,0.0,,,,,0.4747405121716196,0.4975751403535469,0.4691201907280629,0.022834628181927275,-0.005620321443556731,-0.17437380947442574,-0.1728385032515689,-0.18218281072802256,0.0015353062228568304,-0.00780900125359682
6064460.0,70.0,164.0,1.0,76.0,1.0,29.0,1.0,1.9096711600759457,2.0004117041755762,1.8881428628496906,0.0907405440996305,-0.021528297226255155,-0.3438014697024381,-0.34090594773965677,-0.3590250919942264,0.002895521962781311,-0.015223622291788308
6380349.0,70.0,155.0,0.0,,,,,0.070024916923357,0.07338911434885631,0.06919974492825531,0.0033641974254993157,-0.0008251719951016812,-0.028934965903224166,-0.028677332414417833,-0.03023455814445697,0.0002576334888063324,-0.0012995922412328033
6382090.0,70.0,154.0,2.0,131.0,2.0,33.0,1.0,0.04538479759428489,0.04755906256559683,0.04485582015831824,0.0021742649713119427,-0.0005289774359666516,-0.018427499550644117,-0.018263297160274305,-0.019255328431768248,0.00016420239036981157,-0.0008278288811241312
